"CDRCONTMUTL","REF_CONT","REF_CRDT","CLIENT_ID","CURR","CATG","CONT_DATE","VAL_DATE","MATR_DATE","LIMT_REF","COMP","ACCT_OFFC","INTR_KEY","TIEG","INTR_SPREAD","TAUX_BASE","MARG","INTR_RATE","TYPE_ENG","REF_TITR","MONT_DEBL","AUTR_ID","CDRAUTR","CDRCUST","CDRTYPENG","CDRCURR","CDRCATG","CDRTITR","DATDEBVLD","DATFINVLD","VERSION_ACTUELLE","VERSION_NUMBER","DATCHG"
29501,TF2433705616,TF2433705616,"10",TND,"23225","2024-12-02 00:00:00.0","2024-12-02 00:00:00.0","2025-11-27 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2077691,TF243370561601,TF2433705616,"10",TND,"23225",,"2025-01-17 00:00:00.0",,,"8922380218","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
25663,TF2433709797,TF2433709797,"10",TND,"23225","2024-12-02 00:00:00.0","2024-12-02 00:00:00.0","2025-11-27 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2079360,TF243370979701,TF2433709797,"10",TND,"23225",,"2025-01-08 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
21609,TF2433799700,TF2433799700,"10",TND,"23225","2024-12-02 00:00:00.0","2024-12-02 00:00:00.0","2025-11-27 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2082818,TF243379970001,TF2433799700,"10",TND,"23225",,"2025-01-24 00:00:00.0",,,"8923395424","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
16325,TF2433930324,TF2433930324,"10",USD,"23225","2024-12-04 00:00:00.0","2024-12-04 00:00:00.0","2025-11-29 00:00:00.0","9998.01","8902613685","659",,,,,,,,,"10080.00",,0,287961,0,18,5222,0,20250930,99991231,1,1,20260325
2080344,TF243393032401,TF2433930324,"10",USD,"23225",,"2024-12-19 00:00:00.0",,,"8902613685","659",,,,,,,,,"10080.00",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
6251,TF2435312739,TF2435312739,"10",TND,"23225","2024-12-18 00:00:00.0","2024-12-18 00:00:00.0","2025-12-13 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2082952,TF243531273901,TF2435312739,"10",TND,"23225",,"2025-02-10 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
2123,TF2435325391,TF2435325391,"10",TND,"23225","2024-12-18 00:00:00.0","2024-12-18 00:00:00.0","2025-12-13 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2073170,TF243532539101,TF2435325391,"10",TND,"23225",,"2025-02-24 00:00:00.0",,,"8923395424","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
20011,TF2435326950,TF2435326950,"10",TND,"23225","2024-12-18 00:00:00.0","2024-12-18 00:00:00.0","2025-12-13 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"185059.200",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2057921,TF243532695001,TF2435326950,"10",TND,"23225",,"2025-02-20 00:00:00.0",,,"8923395424","659",,,,,,,,,"185059.200",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
30113,TF2435847737,TF2435847737,"10",TND,"23225","2024-12-23 00:00:00.0","2024-12-23 00:00:00.0","2025-12-18 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2057422,TF243584773701,TF2435847737,"10",TND,"23225",,"2025-01-31 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
17970,TF2501591236,TF2501591236,"10",TND,"23225","2025-01-15 00:00:00.0","2025-01-15 00:00:00.0","2026-01-10 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2085997,TF250159123601,TF2501591236,"10",TND,"23225",,"2025-02-13 00:00:00.0",,,"8922380218","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
9207,TF2501704436,TF2501704436,"10",TND,"23225","2025-01-17 00:00:00.0","2025-01-17 00:00:00.0","2026-01-12 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2085007,TF250170443601,TF2501704436,"10",TND,"23225",,"2025-03-04 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
8993,TF2501737333,TF2501737333,"10",TND,"23225","2025-01-17 00:00:00.0","2025-01-17 00:00:00.0","2026-01-12 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2077105,TF250173733301,TF2501737333,"10",TND,"23225",,"2025-03-06 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
2517,TF2501745678,TF2501745678,"10",TND,"23225","2025-01-17 00:00:00.0","2025-01-17 00:00:00.0","2026-01-12 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2086363,TF250174567801,TF2501745678,"10",TND,"23225",,"2025-02-28 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
2120,TF2501777138,TF2501777138,"10",TND,"23225","2025-01-17 00:00:00.0","2025-01-17 00:00:00.0","2026-01-12 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"185059.200",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2058502,TF250177713801,TF2501777138,"10",TND,"23225",,"2025-02-27 00:00:00.0",,,"8923395424","659",,,,,,,,,"185059.200",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
8041,TF2501795240,TF2501795240,"10",TND,"23225","2025-01-17 00:00:00.0","2025-01-17 00:00:00.0","2026-01-12 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2077922,TF250179524001,TF2501795240,"10",TND,"23225",,"2025-02-27 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
12811,TF2501795752,TF2501795752,"10",TND,"23225","2025-01-17 00:00:00.0","2025-01-17 00:00:00.0","2026-01-12 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2082448,TF250179575201,TF2501795752,"10",TND,"23225",,"2025-03-07 00:00:00.0",,,"8923395424","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
30840,TF2502105282,TF2502105282,"10",EUR,"23227","2025-01-21 00:00:00.0","2025-01-21 00:00:00.0","2026-01-18 00:00:00.0","9998.01","8906877032","659",,,,,,,,,"25848.30",,0,287961,0,7,3192,0,20250930,99991231,1,1,20260325
2059117,TF250210528201,TF2502105282,"10",EUR,"23227",,"2025-03-10 00:00:00.0","2025-03-10 00:00:00.0","9998.01","8906877032","659",,,,,,,,,"25848.30",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
24036,TF2502220257,TF2502220257,"10",TND,"23225","2025-01-22 00:00:00.0","2025-01-22 00:00:00.0","2026-01-17 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2081550,TF250222025701,TF2502220257,"10",TND,"23225",,"2025-03-11 00:00:00.0",,,"8923395424","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
1758,TF2502284240,TF2502284240,"10",TND,"23225","2025-01-22 00:00:00.0","2025-01-22 00:00:00.0","2026-01-17 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2078835,TF250228424001,TF2502284240,"10",TND,"23225",,"2025-03-11 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
11598,TF2502842368,TF2502842368,"10",EUR,"23225","2025-01-28 00:00:00.0","2025-01-28 00:00:00.0","2026-01-23 00:00:00.0","9998.01","8902350277","659",,,,,,,,,"4139.10",,0,287961,0,7,5222,0,20250930,99991231,1,1,20260325
2065770,TF250284236801,TF2502842368,"10",EUR,"23225",,"2025-02-17 00:00:00.0",,,"8902350277","659",,,,,,,,,"4139.10",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
29075,TF2503004038,TF2503004038,"10",TND,"23225","2025-01-30 00:00:00.0","2025-01-30 00:00:00.0","2026-02-02 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2061519,TF250300403801,TF2503004038,"10",TND,"23225",,"2025-04-04 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
14613,TF2503004993,TF2503004993,"10",TND,"23225","2025-01-30 00:00:00.0","2025-01-30 00:00:00.0","2026-01-25 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2077072,TF250300499301,TF2503004993,"10",TND,"23225",,"2025-03-21 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
17376,TF2503037054,TF2503037054,"10",TND,"23225","2025-01-30 00:00:00.0","2025-01-30 00:00:00.0","2026-01-25 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2071343,TF250303705401,TF2503037054,"10",TND,"23225",,"2025-03-25 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
18692,TF2503073001,TF2503073001,"10",TND,"23225","2025-01-30 00:00:00.0","2025-01-30 00:00:00.0","2026-01-25 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2081532,TF250307300101,TF2503073001,"10",TND,"23225",,"2025-03-14 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
14232,TF2503097734,TF2503097734,"10",TND,"23225","2025-01-30 00:00:00.0","2025-01-30 00:00:00.0","2026-01-25 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2082445,TF250309773401,TF2503097734,"10",TND,"23225",,"2025-03-21 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
20445,TF2503893010,TF2503893010,"10",TND,"23225","2025-02-07 00:00:00.0","2025-02-07 00:00:00.0","2026-02-02 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2080500,TF250389301001,TF2503893010,"10",TND,"23225",,"2025-04-14 00:00:00.0",,,"8923395424","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
6256,TF2503899790,TF2503899790,"10",TND,"23225","2025-02-07 00:00:00.0","2025-02-07 00:00:00.0","2026-02-02 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2063000,TF250389979001,TF2503899790,"10",TND,"23225",,"2025-04-04 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
17353,TF2504449859,TF2504449859,"10",TND,"23225","2025-02-13 00:00:00.0","2025-02-13 00:00:00.0","2026-02-08 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2082614,TF250444985901,TF2504449859,"10",TND,"23225",,"2025-03-13 00:00:00.0",,,"8922380218","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
26004,TF2504504422,TF2504504422,"10",TND,"23225","2025-02-14 00:00:00.0","2025-02-14 00:00:00.0","2026-02-09 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2057388,TF250450442201,TF2504504422,"10",TND,"23225",,"2025-05-09 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
3617,TF2504590939,TF2504590939,"10",TND,"23225","2025-02-14 00:00:00.0","2025-02-14 00:00:00.0","2026-02-09 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2063403,TF250459093901,TF2504590939,"10",TND,"23225",,"2025-04-28 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
26023,TF2505229130,TF2505229130,"10",USD,"23225","2025-02-21 00:00:00.0","2025-02-21 00:00:00.0","2026-02-16 00:00:00.0","9998.01","8902613685","659",,,,,,,,,"20400.00",,0,287961,0,18,5222,0,20250930,99991231,1,1,20260325
2057883,TF250522913001,TF2505229130,"10",USD,"23225",,"2025-03-10 00:00:00.0",,,"8902613685","659",,,,,,,,,"20400.00",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
19107,TF2505285954,TF2505285954,"10",TND,"23225","2025-02-21 00:00:00.0","2025-02-21 00:00:00.0","2026-02-16 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"175000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2089028,TF250528595401,TF2505285954,"10",TND,"23225",,"2025-06-05 00:00:00.0",,,"8923395424","659",,,,,,,,,"175000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
4104,TF2505565862,TF2505565862,"10",TND,"23225","2025-02-24 00:00:00.0","2025-02-24 00:00:00.0","2026-02-19 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"150000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2078987,TF250556586201,TF2505565862,"10",TND,"23225",,"2025-04-02 00:00:00.0",,,"8922380218","659",,,,,,,,,"150000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
6791,TF2505726861,TF2505726861,"10",TND,"23225","2025-02-26 00:00:00.0","2025-02-26 00:00:00.0","2026-02-21 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"150000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2060902,TF250572686101,TF2505726861,"10",TND,"23225",,"2025-05-23 00:00:00.0",,,"8922380218","659",,,,,,,,,"150000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
6156,TF2506200233,TF2506200233,"10",TND,"23225","2025-03-03 00:00:00.0","2025-03-03 00:00:00.0","2026-02-26 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2083703,TF250620023301,TF2506200233,"10",TND,"23225",,"2025-05-19 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
2540,TF2506290467,TF2506290467,"10",TND,"23225","2025-03-03 00:00:00.0","2025-03-03 00:00:00.0","2026-02-26 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2087319,TF250629046701,TF2506290467,"10",TND,"23225",,"2025-07-02 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
20557,TF2506458451,TF2506458451,"10",TND,"23225","2025-03-05 00:00:00.0","2025-03-05 00:00:00.0","2026-02-28 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2062616,TF250645845101,TF2506458451,"10",TND,"23225",,"2025-07-17 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
30141,TF2506685672,TF2506685672,"10",TND,"23225","2025-03-07 00:00:00.0","2025-03-07 00:00:00.0","2026-03-02 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"131560.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2075470,TF250668567201,TF2506685672,"10",TND,"23225",,"2025-06-16 00:00:00.0",,,"8922380218","659",,,,,,,,,"131560.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
31089,TF2506694660,TF2506694660,"10",USD,"23225","2025-03-07 00:00:00.0","2025-03-07 00:00:00.0","2026-03-02 00:00:00.0","9998.01","8906122481","659",,,,,,,,,"9667.87",,0,287961,0,18,5222,0,20250930,99991231,1,1,20260325
2071903,TF250669466001,TF2506694660,"10",USD,"23225",,"2025-04-08 00:00:00.0",,,"8906122481","659",,,,,,,,,"9667.87",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
29670,TF2508306608,TF2508306608,"10",TND,"23225","2025-03-24 00:00:00.0","2025-03-24 00:00:00.0","2026-03-19 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2065362,TF250830660801,TF2508306608,"10",TND,"23225",,"2025-07-18 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
16212,TF2508388983,TF2508388983,"10",TND,"23225","2025-03-24 00:00:00.0","2025-03-24 00:00:00.0","2026-03-19 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2088309,TF250838898301,TF2508388983,"10",TND,"23225",,"2025-07-23 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
21895,TF2508536093,TF2508536093,"10",TND,"23225","2025-03-26 00:00:00.0","2025-03-26 00:00:00.0","2026-03-21 00:00:00.0","9998.01","8922380218","659",,,,,,,,,"110000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2077136,TF250853609301,TF2508536093,"10",TND,"23225",,"2025-07-14 00:00:00.0",,,"8922380218","659",,,,,,,,,"110000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
17245,TF2509896961,TF2509896961,"10",EUR,"23225","2025-04-08 00:00:00.0","2025-04-08 00:00:00.0","2026-04-03 00:00:00.0","9998.01","8902094912","659",,,,,,,,,"147000.00",,0,287961,0,7,5222,0,20250930,99991231,1,1,20260325
2076864,TF250989696101,TF2509896961,"10",EUR,"23225",,"2025-06-09 00:00:00.0",,,"8902094912","659",,,,,,,,,"147000.00",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
8865,TF2510006506,TF2510006506,"10",EUR,"23225","2025-04-10 00:00:00.0","2025-04-10 00:00:00.0","2026-04-05 00:00:00.0","9998.01","8902615734","659",,,,,,,,,"40525.60",,0,287961,0,7,5222,0,20250930,99991231,1,1,20260325
2080717,TF251000650601,TF2510006506,"10",EUR,"23225",,"2025-05-02 00:00:00.0",,,"8902615734","659",,,,,,,,,"40525.60",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
10929,TF2515300074,TF2515300074,"10",EUR,"23225","2025-06-02 00:00:00.0","2025-06-02 00:00:00.0","2026-05-28 00:00:00.0","9998.01","8900682876","659",,,,,,,,,"19781.05",,0,287961,0,7,5222,0,20250930,99991231,1,1,20260325
2077825,TF251530007401,TF2515300074,"10",EUR,"23225",,"2025-07-31 00:00:00.0",,,"8900682876","659",,,,,,,,,"19781.05",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
11764,TF2517808023,TF2517808023,"10",TND,"23225","2025-06-27 00:00:00.0","2025-06-27 00:00:00.0","2026-06-22 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"125000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2080727,TF251780802301,TF2517808023,"10",TND,"23225",,"2025-09-05 00:00:00.0",,,"8923395424","659",,,,,,,,,"125000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
33648,TF2517813903,TF2517813903,"10",TND,"23225","2025-06-27 00:00:00.0","2025-06-27 00:00:00.0","2026-06-22 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2081331,TF251781390301,TF2517813903,"10",TND,"23225",,"2025-08-28 00:00:00.0",,,"8923395424","659",,,,,,,,,"180000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
26366,TF2517820040,TF2517820040,"10",TND,"23225","2025-06-27 00:00:00.0","2025-06-27 00:00:00.0","2026-06-22 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"147000.000",,0,287961,0,2,5222,0,20250930,99991231,1,1,20260325
2057662,TF251782004001,TF2517820040,"10",TND,"23225",,"2025-09-05 00:00:00.0",,,"8923395424","659",,,,,,,,,"147000.000",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
32183,TF2517827752,TF2517827752,"10",TND,"23227","2025-06-27 00:00:00.0","2025-06-27 00:00:00.0","2026-06-22 00:00:00.0","9998.01","8923395424","659",,,,,,,,,"180000.000",,0,287961,0,2,3192,0,20250930,99991231,1,1,20260325
33300,TF2519789711,TF2519789711,"10",USD,"23225","2025-07-16 00:00:00.0","2025-07-16 00:00:00.0","2026-07-11 00:00:00.0","9998.01","8902613685","659",,,,,,,,,"10800.00",,0,287961,0,18,5222,0,20250930,99991231,1,1,20260325
2070963,TF251978971101,TF2519789711,"10",USD,"23225",,"2025-08-01 00:00:00.0",,,"8902613685","659",,,,,,,,,"10800.00",,0,0,0,0,0,0,20250930,99991231,1,1,20260316
